Configuration,Full Name,Mean Reward,Std Reward,Learning Rate,Buffer Size,Batch Size,Gamma,Tau,Target Update,Exploration Fraction,Final Epsilon
LowGamma,DQN_LowGamma,483.1829587805434,335.4520707097879,0.0001,100000,32,0.95,1.0,1000,0.1,0.05
AggressiveExplore,DQN_AggressiveExplore,274.9702670633771,220.10594210019386,0.0001,5000,32,0.99,1.0,1000,0.3,0.1
ConservativeExplore,DQN_ConservativeExplore,219.69343358225888,170.60850574923313,0.0001,100000,32,0.99,1.0,1000,0.05,0.01
LargeBatch,DQN_LargeBatch,218.23703913169447,247.24592942126176,0.0001,100000,128,0.99,1.0,1000,0.1,0.05
Baseline,DQN_Baseline,208.34836352306593,68.18757399208558,0.0001,50000,32,0.99,1.0,1000,0.1,0.05
LargeBuffer,DQN_LargeBuffer,202.53513097618708,296.4277295429054,0.0001,5000,32,0.99,1.0,1000,0.1,0.05
LowLR,DQN_LowLR,182.30192779018543,145.77735500030442,1e-05,50000,32,0.99,1.0,1000,0.1,0.05
HighLR,DQN_HighLR,165.50334214230534,171.0035096876407,0.0005,50000,32,0.99,1.0,1000,0.1,0.05
SmallBatch,DQN_SmallBatch,150.1826744708698,392.370131767041,0.0001,50000,16,0.99,1.0,1000,0.1,0.05
HighGamma,DQN_HighGamma,112.17005202078872,180.49330117951015,0.0001,50000,32,0.995,1.0,1000,0.1,0.05
